recorded_at,line_id,mold_temp,injection_pressure,injection_speed,cooling_time,humidity,ambient_temp
2026-05-22T09:22:45,A,74.52,88.88,62.13,20.67,48.92,25.16
2026-05-22T09:23:00,A,76.19,89.07,60.98,18.12,52.77,23.82
2026-05-22T09:23:15,A,73.59,85.77,55.33,20.91,46.16,25.75
2026-05-22T09:23:30,A,75.42,89.71,58.37,20.6,49.89,25.1
2026-05-22T09:23:45,A,74.27,89.83,60.92,17.43,45.96,24.74
2026-05-22T09:24:00,A,75.04,91.04,58.38,18.83,50.59,23.02
2026-05-22T09:24:15,A,77.06,91.42,60.77,21.47,55.0,25.01
2026-05-22T09:24:30,A,71.32,86.16,58.13,20.04,51.55,23.27
2026-05-22T09:24:45,A,73.78,85.78,57.23,17.97,47.07,25.05
2026-05-22T09:25:00,A,75.99,90.55,57.42,21.05,48.27,24.12
2026-05-22T09:25:15,A,77.3,87.89,59.9,22.66,48.12,25.81
2026-05-22T09:25:30,A,76.26,92.92,61.87,17.64,47.82,23.75
2026-05-22T09:25:45,A,74.85,91.86,60.53,18.0,51.14,24.61
2026-05-22T09:26:00,A,76.67,91.38,59.79,17.51,51.29,24.21
2026-05-22T09:26:15,A,72.84,93.16,59.88,21.02,50.08,24.03
2026-05-22T09:26:30,A,75.19,88.61,58.7,19.54,50.67,23.52
2026-05-22T09:26:45,A,74.63,88.68,64.34,20.29,53.1,22.51
2026-05-22T09:27:00,A,75.16,93.2,58.45,22.11,56.9,23.64
2026-05-22T09:27:15,A,74.11,94.36,64.74,19.22,48.74,23.72
2026-05-22T09:27:30,A,72.99,87.7,59.9,20.35,54.65,23.0
2026-05-22T09:27:45,A,76.97,89.36,59.85,21.01,46.63,24.38
2026-05-22T09:28:00,A,75.33,91.48,60.87,23.68,48.09,23.47
2026-05-22T09:28:15,A,73.73,93.57,64.26,19.14,47.5,24.47
2026-05-22T09:28:30,A,75.41,85.45,64.64,22.69,48.16,23.61
2026-05-22T09:28:45,A,75.57,91.0,61.98,23.02,49.47,23.2
2026-05-22T09:29:00,A,74.93,95.38,58.45,20.34,49.95,25.19
2026-05-22T09:29:15,A,74.02,93.13,62.05,22.77,51.75,23.64
2026-05-22T09:29:30,A,76.64,91.52,63.2,21.75,54.15,24.65
2026-05-22T09:29:45,A,74.67,90.44,63.62,18.77,51.11,23.61
2026-05-22T09:30:00,A,75.38,90.14,55.92,21.12,51.94,26.16
2026-05-22T09:30:15,A,75.5,94.73,59.71,20.42,51.82,24.19
2026-05-22T09:30:30,A,74.11,90.58,63.22,18.46,50.4,23.3
2026-05-22T09:30:45,A,73.88,91.13,64.7,19.9,48.33,25.88
2026-05-22T09:31:00,A,72.1,83.4,61.32,19.25,46.94,24.71
2026-05-22T09:31:15,A,72.44,92.62,61.95,19.85,55.54,22.93
2026-05-22T09:31:30,A,74.91,90.73,59.28,20.53,46.25,25.44
2026-05-22T09:31:45,A,75.69,91.37,61.71,20.67,51.93,25.33
2026-05-22T09:32:00,A,75.39,92.13,59.73,22.16,47.97,25.8
2026-05-22T09:32:15,A,75.26,87.96,62.52,19.02,48.66,22.11
2026-05-22T09:32:30,A,74.1,82.73,55.25,21.14,52.36,24.43
2026-05-22T09:32:45,A,73.07,89.86,59.99,18.26,54.51,24.88
2026-05-22T09:33:00,A,75.42,83.87,59.26,18.98,47.0,23.72
2026-05-22T09:33:15,A,73.86,91.72,64.2,21.39,50.18,23.35
2026-05-22T09:33:30,A,76.79,91.91,63.15,19.2,53.95,24.2
2026-05-22T09:33:45,A,78.47,90.59,58.05,19.27,49.04,24.42
2026-05-22T09:34:00,A,76.05,88.28,59.93,23.21,55.18,24.44
2026-05-22T09:34:15,A,75.08,90.36,61.84,18.47,49.23,22.33
2026-05-22T09:34:30,A,74.03,94.72,56.32,17.8,50.67,25.05
2026-05-22T09:34:45,A,77.16,89.88,59.48,21.33,51.96,22.42
2026-05-22T09:35:00,A,77.95,94.14,58.12,20.59,51.48,24.26
2026-05-22T09:35:15,A,74.95,93.52,61.63,19.44,52.32,21.15
2026-05-22T09:35:30,A,74.28,86.64,56.12,21.74,48.6,24.35
2026-05-22T09:35:45,A,75.15,86.15,62.99,19.26,45.33,23.57
2026-05-22T09:36:00,A,74.3,88.95,59.04,23.12,51.15,24.43
2026-05-22T09:36:15,A,74.48,89.41,59.79,19.94,52.18,24.05
2026-05-22T09:36:30,A,76.47,89.76,60.24,17.0,52.75,24.35
2026-05-22T09:36:45,A,79.18,89.58,63.32,18.44,51.84,22.95
2026-05-22T09:37:00,A,73.75,95.74,59.43,20.33,52.61,24.5
2026-05-22T09:37:15,A,79.81,89.83,60.6,21.58,53.32,25.19
2026-05-22T09:37:30,A,78.27,86.56,60.91,18.87,49.81,24.33
2026-05-22T09:37:45,A,78.23,91.36,59.27,21.45,53.57,22.77
2026-05-22T09:38:00,A,74.4,94.13,59.55,20.19,49.48,24.02
2026-05-22T09:38:15,A,78.19,87.46,57.03,16.77,48.08,22.68
2026-05-22T09:38:30,A,78.28,93.03,57.94,23.38,52.95,23.68
2026-05-22T09:38:45,A,72.22,85.06,63.07,23.66,54.15,24.56
2026-05-22T09:39:00,A,76.52,90.84,60.31,19.91,47.74,23.72
2026-05-22T09:39:15,A,73.02,86.69,60.54,22.09,52.75,22.43
2026-05-22T09:39:30,A,73.04,89.33,61.65,18.55,50.32,22.67
2026-05-22T09:39:45,A,71.81,91.32,59.94,20.83,50.67,25.36
2026-05-22T09:40:00,A,75.24,91.63,60.15,20.06,47.89,23.34
2026-05-22T09:40:15,A,72.51,87.92,57.84,21.34,49.12,25.25
2026-05-22T09:40:30,A,73.33,96.44,56.44,20.46,51.9,24.41
2026-05-22T09:40:45,A,75.09,89.56,62.89,23.32,48.33,22.63
2026-05-22T09:41:00,A,73.39,94.92,65.03,19.17,51.71,25.63
2026-05-22T09:41:15,A,73.84,86.96,58.05,18.16,50.1,23.23
2026-05-22T09:41:30,A,75.47,85.33,60.99,21.25,44.02,24.37
2026-05-22T09:41:45,A,78.35,91.26,57.88,19.92,51.67,24.08
2026-05-22T09:42:00,A,73.59,89.67,57.29,18.9,53.71,25.09
2026-05-22T09:42:15,A,74.62,89.05,63.64,20.21,56.96,24.39
2026-05-22T09:42:30,A,76.26,92.12,62.87,18.82,46.01,22.16
2026-05-22T09:42:45,A,77.51,97.48,59.98,21.26,50.25,23.9
2026-05-22T09:43:00,A,78.16,88.0,62.98,19.74,47.73,24.54
2026-05-22T09:43:15,A,79.63,91.42,59.92,21.23,54.17,24.56
2026-05-22T09:43:30,A,78.94,88.17,59.44,20.08,51.59,23.93
2026-05-22T09:43:45,A,79.02,89.57,56.37,20.9,54.59,25.22
2026-05-22T09:44:00,A,82.16,90.45,58.99,19.08,49.09,23.61
2026-05-22T09:44:15,A,81.81,93.57,62.85,17.77,42.34,24.93
2026-05-22T09:44:30,A,81.86,86.49,54.59,20.81,52.28,23.42
2026-05-22T09:44:45,A,82.25,91.18,55.56,20.28,49.95,24.58
2026-05-22T09:45:00,A,83.34,89.92,57.2,19.34,47.35,23.83
2026-05-22T09:45:15,A,85.68,89.37,57.99,21.56,48.18,25.83
2026-05-22T09:45:30,A,84.31,92.23,60.9,21.95,54.68,24.03
2026-05-22T09:45:45,A,87.64,90.41,58.9,20.28,45.96,23.03
2026-05-22T09:46:00,A,86.87,93.56,62.16,21.49,47.73,22.58
2026-05-22T09:46:15,A,88.37,91.67,61.37,23.25,48.07,24.93
2026-05-22T09:46:30,A,88.26,91.61,63.22,19.45,47.48,22.96
2026-05-22T09:46:45,A,88.24,89.17,60.92,21.22,52.58,23.42
2026-05-22T09:47:00,A,89.45,89.25,64.82,20.74,52.2,24.66
2026-05-22T09:47:15,A,90.27,88.05,58.41,20.88,53.71,24.02
2026-05-22T09:47:30,A,93.19,91.7,54.72,21.13,51.14,25.29
2026-05-22T09:47:45,A,91.08,87.45,58.26,20.88,55.01,24.39
2026-05-22T09:48:00,A,91.39,89.6,60.04,18.82,51.94,23.88
2026-05-22T09:48:15,A,93.08,88.88,65.18,19.4,50.67,24.93
2026-05-22T09:48:30,A,93.89,88.34,67.67,19.15,50.55,25.54
2026-05-22T09:48:45,A,93.54,91.78,62.34,19.17,47.55,24.0
2026-05-22T09:49:00,A,93.43,90.27,64.43,18.29,49.42,23.28
2026-05-22T09:49:15,A,94.27,91.89,56.93,22.78,53.66,24.58
2026-05-22T09:49:30,A,93.63,95.65,64.63,19.27,46.64,24.14
2026-05-22T09:49:45,A,91.3,85.22,61.54,19.2,46.49,21.13
2026-05-22T09:50:00,A,94.66,94.98,58.63,19.1,51.41,23.0
2026-05-22T09:50:15,A,91.62,89.39,57.37,18.76,49.32,24.37
2026-05-22T09:50:30,A,91.16,89.94,57.76,16.36,52.65,24.74
2026-05-22T09:50:45,A,91.22,91.55,55.31,19.21,52.38,22.75
2026-05-22T09:51:00,A,90.83,85.15,63.49,18.9,47.57,24.2
2026-05-22T09:51:15,A,91.01,92.08,60.53,19.45,47.52,24.09
2026-05-22T09:51:30,A,91.2,82.91,56.97,20.93,56.17,24.02
2026-05-22T09:51:45,A,89.37,87.6,58.55,18.57,50.37,25.62
2026-05-22T09:52:00,A,88.17,92.65,59.77,19.73,59.58,24.3
2026-05-22T09:52:15,A,89.56,85.69,62.76,19.0,55.62,25.08
2026-05-22T09:52:30,A,90.02,91.45,57.46,19.03,53.09,23.67
2026-05-22T09:52:45,A,87.93,91.27,66.19,18.4,50.07,25.41
2026-05-22T09:53:00,A,89.03,89.44,62.96,21.78,57.77,24.58
2026-05-22T09:53:15,A,88.66,89.11,60.51,21.98,46.98,25.14
2026-05-22T09:53:30,A,87.43,93.89,59.93,18.5,48.49,24.84
2026-05-22T09:53:45,A,87.36,87.23,64.85,19.52,53.65,25.52
2026-05-22T09:54:00,A,87.44,87.29,60.97,18.23,53.56,23.54
2026-05-22T09:54:15,A,87.77,88.58,62.61,17.98,50.38,25.94
2026-05-22T09:54:30,A,87.08,91.05,61.47,20.95,53.33,24.41
2026-05-22T09:54:45,A,86.48,87.08,63.32,19.82,43.48,24.85
2026-05-22T09:55:00,A,86.24,91.0,60.57,21.06,48.69,24.51
2026-05-22T09:55:15,A,85.11,93.26,58.39,21.21,51.1,25.84
2026-05-22T09:55:30,A,85.46,92.4,55.15,18.42,46.8,24.95
2026-05-22T09:55:45,A,85.38,89.49,60.21,21.74,47.22,24.24
2026-05-22T09:56:00,A,85.7,90.57,63.0,15.95,52.03,23.35
2026-05-22T09:56:15,A,84.78,92.86,64.84,21.97,54.92,24.74
2026-05-22T09:56:30,A,83.79,96.51,59.47,20.18,51.65,24.04
2026-05-22T09:56:45,A,83.61,86.04,58.16,19.94,48.71,23.31
2026-05-22T09:57:00,A,83.98,85.49,62.28,20.12,45.63,23.69
2026-05-22T09:57:15,A,81.91,90.35,59.52,21.01,50.64,23.25
2026-05-22T09:57:30,A,83.52,95.7,59.82,18.94,45.46,22.2
2026-05-22T09:57:45,A,81.64,92.69,58.55,20.22,54.84,24.9
2026-05-22T09:58:00,A,82.21,89.37,57.04,19.8,50.23,23.78
2026-05-22T09:58:15,A,81.56,94.23,59.7,20.03,52.12,24.23
2026-05-22T09:58:30,A,82.73,86.57,60.33,19.95,49.38,23.87
2026-05-22T09:58:45,A,82.24,86.92,63.8,18.7,52.91,24.43
2026-05-22T09:59:00,A,82.72,93.0,57.99,22.09,49.25,24.29
2026-05-22T09:59:15,A,82.31,84.75,63.91,17.51,53.1,25.13
2026-05-22T09:59:30,A,81.02,89.08,62.34,21.97,54.19,23.44
2026-05-22T09:59:45,A,81.91,94.85,56.3,19.11,49.92,24.28
2026-05-22T10:00:00,A,80.65,91.64,60.02,19.35,49.67,23.91
2026-05-22T10:00:15,A,80.12,94.8,61.68,19.56,52.09,23.67
2026-05-22T10:00:30,A,80.55,85.29,56.62,18.21,50.43,25.73
2026-05-22T10:00:45,A,78.02,88.37,57.64,19.07,49.5,23.53
2026-05-22T10:01:00,A,80.28,86.78,60.72,23.11,47.24,21.47
2026-05-22T10:01:15,A,80.35,95.88,56.31,20.75,48.6,23.89
2026-05-22T10:01:30,A,79.43,93.26,60.29,20.46,48.83,24.27
2026-05-22T10:01:45,A,79.06,89.91,63.38,19.92,44.68,25.26
2026-05-22T10:02:00,A,79.77,83.59,69.41,21.58,50.67,23.95
2026-05-22T10:02:15,A,78.67,90.27,59.41,19.77,49.42,25.13
2026-05-22T10:02:30,A,74.89,91.97,60.58,19.97,48.83,25.12
2026-05-22T10:02:45,A,76.58,85.86,58.12,21.29,52.86,24.51
2026-05-22T10:03:00,A,77.78,88.08,61.3,21.2,52.26,25.19
2026-05-22T10:03:15,A,76.96,87.35,59.51,18.88,47.97,23.86
2026-05-22T10:03:30,A,76.91,90.0,57.55,20.99,52.81,22.39
2026-05-22T10:03:45,A,77.25,89.42,59.21,16.99,51.91,22.76
2026-05-22T10:04:00,A,74.82,80.94,60.55,22.7,53.72,24.21
2026-05-22T10:04:15,A,76.33,91.52,63.18,24.14,51.18,23.49
2026-05-22T10:04:30,A,75.16,88.43,60.46,18.77,53.36,24.0
2026-05-22T10:04:45,A,74.96,90.47,62.48,18.7,48.03,23.7
2026-05-22T10:05:00,A,75.87,90.79,60.58,21.28,49.59,24.39
2026-05-22T10:05:15,A,74.79,82.68,59.6,22.13,52.78,24.97
2026-05-22T10:05:30,A,77.47,90.27,60.59,19.07,49.05,24.62
2026-05-22T10:05:45,A,77.41,90.0,61.8,17.83,43.11,23.45
2026-05-22T10:06:00,A,72.56,88.64,64.36,20.49,50.9,24.62
2026-05-22T10:06:15,A,72.72,92.01,56.78,17.67,52.45,24.38
2026-05-22T10:06:30,A,73.2,86.43,64.93,18.65,51.92,23.67
2026-05-22T10:06:45,A,76.21,90.12,56.99,21.11,48.46,23.77
2026-05-22T10:07:00,A,73.01,97.24,62.35,19.97,49.21,24.02
2026-05-22T10:07:15,A,76.09,92.15,62.15,20.66,50.06,24.67
2026-05-22T10:07:30,A,76.18,90.31,64.65,18.14,45.6,24.16
2026-05-22T10:07:45,A,75.1,90.52,60.73,19.67,54.47,22.4
2026-05-22T10:08:00,A,73.34,89.69,55.07,19.74,54.98,24.02
2026-05-22T10:08:15,A,75.46,86.22,58.15,19.44,49.05,25.28
2026-05-22T10:08:30,A,76.12,91.49,63.42,22.37,46.95,23.19
2026-05-22T10:08:45,A,72.48,92.96,59.77,19.52,50.46,23.16
2026-05-22T10:09:00,A,79.18,85.18,60.55,23.04,50.02,23.81
2026-05-22T10:09:15,A,74.29,83.36,64.6,17.86,49.2,23.57
2026-05-22T10:09:30,A,76.18,85.21,61.39,23.04,45.91,24.19
2026-05-22T10:09:45,A,73.68,91.28,60.06,19.04,51.46,25.8
2026-05-22T10:10:00,A,74.62,87.13,61.42,22.23,51.07,23.69
2026-05-22T10:10:15,A,75.0,86.25,61.81,21.32,48.64,23.53
2026-05-22T10:10:30,A,75.53,96.3,59.26,19.46,48.06,24.74
2026-05-22T10:10:45,A,74.64,88.05,63.96,22.13,48.2,22.13
2026-05-22T10:11:00,A,77.02,84.09,62.68,18.18,52.19,24.01
2026-05-22T10:11:15,A,73.09,88.78,62.06,20.16,51.75,25.98
2026-05-22T10:11:30,A,71.87,87.3,56.01,19.72,52.76,23.87
2026-05-22T10:11:45,A,78.02,86.24,61.09,21.33,48.74,21.4
2026-05-22T10:12:00,A,75.4,93.71,56.79,21.02,53.58,22.22
2026-05-22T10:12:15,A,75.64,91.04,58.54,18.99,50.1,22.91
2026-05-22T10:12:30,A,72.83,92.04,56.55,21.0,51.39,22.27
2026-05-22T10:12:45,A,73.64,88.61,61.39,21.18,49.25,23.4
2026-05-22T10:13:00,A,77.84,90.26,57.58,18.75,51.57,24.42
2026-05-22T10:13:15,A,77.8,91.95,55.49,21.58,47.01,23.62
2026-05-22T10:13:30,A,75.5,91.82,59.45,20.8,52.66,23.68
2026-05-22T10:13:45,A,78.59,92.0,61.26,21.26,48.15,23.44
2026-05-22T10:14:00,A,72.8,91.32,62.34,20.69,55.02,23.99
2026-05-22T10:14:15,A,76.34,92.09,62.55,19.56,49.79,22.48
2026-05-22T10:14:30,A,74.29,91.5,60.15,20.01,48.02,24.7
2026-05-22T10:14:45,A,75.84,83.54,63.29,19.28,47.41,24.69
2026-05-22T10:15:00,A,74.22,92.05,55.9,21.82,50.78,23.63
2026-05-22T10:15:15,A,75.29,86.91,55.94,17.72,53.34,23.37
2026-05-22T10:15:30,A,78.07,88.39,54.88,18.33,53.71,23.84
2026-05-22T10:15:45,A,73.9,93.35,64.35,19.46,46.02,23.59
2026-05-22T10:16:00,A,75.52,91.03,59.85,20.05,47.72,23.77
2026-05-22T10:16:15,A,73.15,84.46,57.21,17.76,48.05,23.92
2026-05-22T10:16:30,A,72.1,90.62,60.21,18.92,50.53,23.45
2026-05-22T10:16:45,A,74.46,86.1,62.49,21.22,46.56,24.82
2026-05-22T10:17:00,A,78.08,93.05,60.81,20.83,51.02,24.39
2026-05-22T10:17:15,A,72.35,89.31,59.87,17.7,51.54,24.57
2026-05-22T10:17:30,A,74.88,91.69,56.94,19.96,49.48,24.23
2026-05-22T10:17:45,A,74.26,88.69,55.18,22.62,54.14,22.71
2026-05-22T10:18:00,A,76.38,90.88,59.3,18.82,47.93,23.08
2026-05-22T10:18:15,A,73.34,92.05,64.46,19.13,50.72,24.5
2026-05-22T10:18:30,A,75.94,91.45,56.29,21.3,52.66,23.24
2026-05-22T10:18:45,A,75.08,93.22,67.09,18.82,45.86,24.3
2026-05-22T10:19:00,A,76.44,85.98,62.08,19.09,55.16,25.99
2026-05-22T10:19:15,A,73.47,88.35,62.58,19.42,49.86,24.03
2026-05-22T10:19:30,A,71.16,88.52,64.33,18.12,52.44,23.72
2026-05-22T10:19:45,A,74.44,92.37,61.02,20.86,52.9,23.67
2026-05-22T10:20:00,A,73.78,98.85,63.73,17.97,46.03,24.48
2026-05-22T10:20:15,A,76.09,89.62,60.98,20.13,43.34,23.77
2026-05-22T10:20:30,A,73.3,91.1,59.06,21.38,51.45,24.42
2026-05-22T10:20:45,A,76.21,91.42,57.22,20.83,47.24,23.58
2026-05-22T10:21:00,A,74.41,92.93,62.76,18.13,50.16,23.29
2026-05-22T10:21:15,A,72.48,97.28,61.3,17.93,48.31,25.02
2026-05-22T10:21:30,A,79.18,95.61,61.17,18.7,51.6,21.36
2026-05-22T10:21:45,A,75.01,86.96,60.26,18.61,50.77,23.1
2026-05-22T10:22:00,A,74.18,92.58,59.3,20.06,45.65,23.7
2026-05-22T10:22:15,A,74.9,97.86,56.66,22.2,52.99,24.28
2026-05-22T10:22:30,A,78.52,89.84,63.67,21.64,48.12,22.68
2026-05-22T10:22:45,A,74.59,87.6,59.81,21.86,48.63,23.96
2026-05-22T10:23:00,A,75.12,92.55,53.26,19.09,50.63,25.2
2026-05-22T10:23:15,A,74.02,84.37,61.86,19.05,46.43,23.38
2026-05-22T10:23:30,A,74.63,92.69,63.82,20.98,46.59,23.8
2026-05-22T10:23:45,A,74.99,87.8,60.25,20.69,54.37,24.7
2026-05-22T10:24:00,A,76.58,91.23,57.42,22.11,52.09,23.56
2026-05-22T10:24:15,A,74.04,90.59,60.93,22.55,53.21,24.19
2026-05-22T10:24:30,A,76.88,95.43,59.35,18.73,48.04,22.91
2026-05-22T10:24:45,A,73.43,90.05,62.71,18.64,54.56,24.51
2026-05-22T10:25:00,A,77.06,86.72,62.67,20.26,51.66,22.82
2026-05-22T10:25:15,A,73.21,91.39,55.9,21.27,46.3,24.55
2026-05-22T10:25:30,A,76.25,90.78,58.38,18.49,44.11,24.35
2026-05-22T10:25:45,A,71.87,92.04,59.09,19.51,52.2,24.34
2026-05-22T10:26:00,A,75.63,92.27,61.84,18.47,49.27,23.96
2026-05-22T10:26:15,A,74.73,93.25,56.06,20.93,53.99,24.39
2026-05-22T10:26:30,A,77.18,90.75,63.14,20.22,50.07,23.65
2026-05-22T10:26:45,A,78.13,91.5,55.8,20.55,43.7,24.63
2026-05-22T10:27:00,A,76.77,95.86,58.48,18.41,54.44,25.96
2026-05-22T10:27:15,A,75.01,87.77,58.54,21.85,55.06,24.56
2026-05-22T10:27:30,A,73.24,88.99,61.03,22.33,52.56,24.41
2026-05-22T10:27:45,A,75.93,82.41,59.11,20.36,46.55,24.39
2026-05-22T10:28:00,A,74.59,88.6,59.55,19.89,48.65,24.2
2026-05-22T10:28:15,A,73.48,86.61,61.87,20.94,47.59,24.9
2026-05-22T10:28:30,A,73.74,90.76,62.46,19.95,51.36,23.48
2026-05-22T10:28:45,A,74.61,89.38,57.76,19.73,45.35,23.51
